;;INE PADRON;;;;;;AGENCIA TRIBUTARIA;
PROVINCIA;NOMBRE;POB19;HOMBRES;MUJERES;POB05;POB10;POB15;RENTA_BRUTA_MEDIA;RENTA_BRUTA_DISPONIBLE
Araba/Álava;Okondo;1188;611;577;1,015;1116;1156;0;0
Araba/Álava;Oyón-Oion;3386;1708;1678;2,827;3246;3320;0;0
Araba/Álava;Peñacerrada-Urizaharra;261;152;109;257;296;270;0;0
Araba/Álava;Samaniego;316;158;158;310;329;294;0;0
Araba/Álava;San Millán/Donemiliaga;715;393;322;721;725;722;0;0
Araba/Álava;Urkabustaiz;1371;716;655;999;1271;1300;0;0
Araba/Álava;Valdegovía/Gaubea;996;553;443;0;1106;1013;0;0
Araba/Álava;Villabuena de Álava/Eskuernaga;296;149;147;322;316;306;0;0
Araba/Álava;Vitoria-Gasteiz;251774;122711;129063;226,490;238247;243918;0;0
Araba/Álava;Yécora/Iekora;268;140;128;279;286;266;0;0
Araba/Álava;Zalduondo;183;103;80;169;193;196;0;0
Araba/Álava;Zambrana;410;223;187;367;383;406;0;0
Araba/Álava;Zigoitia;1747;944;803;1,378;1694;1765;0;0
Araba/Álava;Zuia;2302;1190;1112;2,295;2401;2383;0;0
Asturias;Allande;1648;833;815;2,228;2031;1826;16291;14155
Asturias;Aller;10613;5248;5365;13,702;12582;11555;26186;21286
Asturias;Amieva;661;378;283;868;805;727;0;0
Asturias;Avilés;78182;36993;41189;83,855;84202;80880;25072;20536
Asturias;Belmonte de Miranda;1489;787;702;2,019;1751;1641;0;0
Asturias;Bimenes;1681;803;878;1,941;1894;1768;2248;1887
Asturias;Boal;1505;755;750;2,180;1928;1669;16712;14276
Asturias;Cabrales;1960;1001;959;2,249;2253;2094;17328;14934
Asturias;Cabranes;1034;519;515;1,093;1080;1056;1749;14945
Asturias;Candamo;1947;950;997;2,351;2160;2055;1987;16916
